Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| 10  | E6 medium + Y27632 (10 μM) | 20 RPM | 12-well plate, 1 cm²/well | none | 36.5°C | 7.2 | 16% |
| 11  | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (25 ng/mL), VEGF (10 ng/mL) | 37°C | 7.3 | 18% |
| 12  | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | FGF4 (50 ng/mL), KGF (20 ng/mL) | 36.5°C | 7.1 | 14% |
| 13  | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | PDGFB (50 ng/mL), IGF1 (20 ng/mL) | 37°C | 7.3 | 18% |
| 14  | E8 medium + CHIR99021 (3 μM) | 30 RPM | 24-well plate, 2 cm²/well | Activin A (50 ng/mL), Wnt3a (200 ng/mL) | 36.5°C | 7.1 | 14% |
| 15  | E8 medium + Y27632 (10 μM) | 30 RPM | 24-well plate, 2 cm²/well | none | 37°C | 7.3 | 18% |
| 16  | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (25 ng/mL), VEGF (10 ng/mL) | 36.5°C | 7.1 | 14% |
| 17  | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | FGF4 (50 ng/mL), KGF (20 ng/mL) | 37°C | 7.3 | 18% |
| 18  | E8 medium + CHIR99021 (3 μM) | 30 RPM | 24-well plate, 2 cm²/well | PDGFB (50 ng/mL), IGF1 (20 ng/mL) | 36.5°C | 7.1 | 14% |
| 19  | E8 medium + Y27632 (10 μM) | 30 RPM | 24-well plate, 2 cm²/well | Wnt3a (200 ng/mL), Noggin (100 ng/mL) | 37°C | 7.3 | 18% |
| 20  | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (50 ng/mL), FGF4 (25 ng/mL) | 36.5°C | 7.1 | 14% |
| 21  | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | none | 37°C | 7.3 | 18% |
| 22-24 | mTeSR5 + B27 (2x) | 0 RPM | 6-well plate, 9.5 cm²/well | maintenance phase, no additions | 36.5°C | 7.1 | 14% |

Note: The medium and additives used in this protocol are based on established protocols for human iPSC derivation and expansion. However, the specific conditions and timing may need to be optimized for individual cell lines.
Generating protocol 2 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 + FGF2 (100 ng/mL) | 50 RPM | 6-well plate, 9.5 cm²/well | | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL) | 37°C | 7.3 | 18% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | VEGF-A (200 ng/mL), BMP4 (500 nM) | 37°C | 7.3 | 16% |
| 3   | mTeSR1 + IGF-1 (100 ng/mL) | 50 RPM | 6-well plate, 9.5 cm²/well | | 37°C | 7.2 | 14% |
| 4   | E8 Medium | 0 RPM | Corning BioCoat Matrigel-coated plates, 24-well format | Laminin (10 μg/mL), FGF1 (100 ng/mL) | 37°C | 7.5 | 12% |
| 5   | E8 Medium + CHIR99021 (3 μM) | 0 RPM | Corning BioCoat Matrigel-coated plates, 24-well format | | 37°C | 7.4 | 10% |
| 6   | E8 Medium | 0 RPM | Corning BioCoat Matrigel-coated plates, 24-well format | Wnt3a (100 ng/mL), FGF2 (200 ng/mL) | 37°C | 7.5 | 8% |
| 7   | E8 Medium + IWP4 (2 μM) | 0 RPM | Corning BioCoat Matrigel-coated plates, 24-well format | | 37°C | 7.4 | 6% |
| 8   | Liversphere Complete medium | 50 RPM | VWR BD Falcon 12-well plate | HGF (100 ng/mL), EGF (100 ng/mL) | 37°C | 7.3 | 4% |
| 9   | Liversphere Complete medium + GSK3 inhibitor (10 μM) | 50 RPM | VWR BD Falcon 12-well plate | | 37°C | 7.2 | 2% |
| 10  | Liversphere Complete medium | 50 RPM | VWR BD Falcon 24-well plate | TGF-β (100 ng/mL), BMP4 (200 nM) | 37°C | 7.1 | 0% |
| 11  | Liversphere Complete medium + SB203580 (10 μM) | 50 RPM | VWR BD Falcon 24-well plate | | 37°C | 7.2 | 0% |
| 12  | Liversphere Complete medium | 50 RPM | Corning BioCoat Matrigel-coated plates, 48-well format | HGF (200 ng/mL), EGF (200 ng/mL) | 37°C | 7.3 | 0% |
| 13  | Liversphere Complete medium + PD0325901 (5 μM) | 50 RPM | Corning BioCoat Matrigel-coated plates, 48-well format | | 37°C | 7.2 | 0% |
| 14  | Liversphere Complete medium | 50 RPM | Corning BioCoat Matrigel-coated plates, 96-well format | TGF-β (200 ng/mL), BMP4 (500 nM) | 37°C | 7.1 | 0% |
| 15  | Liversphere Complete medium + Rapamycin (100 nM) | 50 RPM | Corning BioCoat Matrigel-coated plates, 96-well format | | 37°C | 7.2 | 0% |
| 16  | Liversphere Complete medium | 50 RPM | Corning BioCoat Matrigel-coated plates, 96-well format | HGF (500 ng/mL), EGF (500 ng/mL) | 37°C | 7.3 | 0% |
| 17  | Liversphere Complete medium + AICAR (1 mM) | 50 RPM | Corning BioCoat Matrigel-coated plates, 96-well format | | 37°C | 7.2 | 0% |
| 18  | Liversphere Complete medium | 50 RPM | VWR BD Falcon 24-well plate | TGF-β (500 ng/mL), BMP4 (1000 nM) | 37°C | 7.1 | 0% |
| 19  | Liversphere Complete medium + PF573228 (10 μM) | 50 RPM | VWR BD Falcon 24-well plate | | 37°C | 7.2 | 0% |
| 20  | Liversphere Complete medium | 50 RPM | VWR BD Falcon 12-well plate | HGF (1000 ng/mL), EGF (1000 ng/mL) | 37°C | 7.3 | 0% |
| 21  | Liversphere Complete medium + Compound X (10 μM) | 50 RPM | VWR BD Falcon 6-well plate | | 37°C | 7.2 | 0% |

Note: The identity of Compound X is not disclosed in this protocol, but it should be replaced with the corresponding actual compound used in the study.
Generating protocol 3 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | E8 Medium | 0 RPM | 24-well plate, 1.9 cm²/well | BMP4 (200 ng/mL), Y27632 (10 μM) | 37°C | 7.4 | 20% |
| 3   | E8 Medium | 100 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (2 ng/mL), FGF7 (50 ng/mL) | 36.5°C | 7.2 | 18% |
| 4   | HEPES-buffered DMEM | 0 RPM | 12-well plate, 3.8 cm²/well | Insulin (10 μg/mL), PDGF-BB (50 ng/mL) | 37°C | 7.4 | 15% |
| 5   | HEPES-buffered DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), EGF (50 ng/mL) | 36.5°C | 7.3 | 12% |
| 6   | Williams' E Medium | 0 RPM | 24-well plate, 1.9 cm²/well | FGF1 (20 ng/mL), VEGF-A (10 ng/mL) | 37°C | 7.4 | 18% |
| 7   | Williams' E Medium | 100 RPM | 6-well plate, 9.5 cm²/well | HGF (200 ng/mL), T3 (1 μM) | 36.5°C | 7.2 | 15% |
| 8   | IMDM + GlutaMAX | 0 RPM | 12-well plate, 3.8 cm²/well | Activin A (50 ng/mL), BMP4 (100 ng/mL) | 37°C | 7.4 | 20% |
| 9   | IMDM + GlutaMAX | 50 RPM | 6-well plate, 9.5 cm²/well | FGF1 (10 ng/mL), VEGF-A (50 ng/mL) | 36.5°C | 7.3 | 12% |
| 10  | M199 Medium | 0 RPM | 24-well plate, 1.9 cm²/well | EGF (20 ng/mL), IGF-1 (100 ng/mL) | 37°C | 7.4 | 18% |
| 11  | M199 Medium | 100 RPM | 6-well plate, 9.5 cm²/well | T3 (500 nM), HGF (50 ng/mL) | 36.5°C | 7.2 | 15% |
| 12  | DMEM + GlutaMAX | 0 RPM | 12-well plate, 3.8 cm²/well | FGF1 (10 ng/mL), PDGF-BB (20 ng/mL) | 37°C | 7.4 | 20% |
| 13  | DMEM + GlutaMAX | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (100 ng/mL), Activin A (50 ng/mL) | 36.5°C | 7.3 | 18% |
| 14  | Hams F12 Medium | 0 RPM | 24-well plate, 1.9 cm²/well | VEGF-A (10 ng/mL), EGF (20 ng/mL) | 37°C | 7.4 | 15% |
| 15  | Hams F12 Medium | 100 RPM | 6-well plate, 9.5 cm²/well | HGF (200 ng/mL), T3 (500 nM) | 36.5°C | 7.2 | 12% |
| 16  | DMEM + GlutaMAX | 0 RPM | 12-well plate, 3.8 cm²/well | Insulin (10 μg/mL), IGF-1 (100 ng/mL) | 37°C | 7.4 | 20% |
| 17  | DMEM + GlutaMAX | 50 RPM | 6-well plate, 9.5 cm²/well | T3 (500 nM), HGF (50 ng/mL) | 36.5°C | 7.3 | 18% |
| 18  | IMDM + GlutaMAX | 0 RPM | 24-well plate, 1.9 cm²/well | EGF (20 ng/mL), VEGF-A (10 ng/mL) | 37°C | 7.4 | 15% |
| 19  | IMDM + GlutaMAX | 100 RPM | 6-well plate, 9.5 cm²/well | HGF (200 ng/mL), BMP4 (100 ng/mL) | 36.5°C | 7.2 | 12% |
| 20  | M199 Medium | 0 RPM | 12-well plate, 3.8 cm²/well | FGF1 (10 ng/mL), PDGF-BB (20 ng/mL) | 37°C | 7.4 | 20% |
| 21  | M199 Medium | 50 RPM | 6-well plate, 9.5 cm²/well | T3 (500 nM), HGF (50 ng/mL) | 36.5°C | 7.3 | 18% |

Generating protocol 4 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | No compounds added | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | FGF4 (50 ng/mL), SB-431542 (10 μM) | 37°C | 7.4 | 20% |
| 3   | mTeSR1 | 0 RPM | V-bottom 96-well plate, 180 μL | Retinoic acid (RA) (100 nM), TGF-β (5 ng/mL) | 37°C | 6.8 | 10% |
| 4   | mTeSR1 | 0 RPM | V-bottom 96-well plate, 180 μL | RA (200 nM), Wnt3a (50 ng/mL) | 37°C | 6.8 | 10% |
| 5   | DMEM/F12 | 100 RPM | CellSTACK II chamber slides, 1 mL | Insulin-like growth factor-1 (IGF-1) (20 ng/mL), Heparin (2 μg/mL) | 37°C | 6.8 | 5% |
| 6   | DMEM/F12 | 100 RPM | CellSTACK II chamber slides, 1 mL | FGF7 (50 ng/mL), EGF (10 ng/mL) | 37°C | 6.8 | 5% |
| 7   | DMEM/F12 | 0 RPM | V-bottom 24-well plate, 500 μL | BMP4 (20 ng/mL), FGF1 (20 ng/mL) | 37°C | 6.8 | 5% |
| 8   | DMEM/F12 | 0 RPM | V-bottom 24-well plate, 500 μL | Activin A (100 ng/mL), Noggin (50 μg/mL) | 37°C | 6.8 | 5% |
| 9   | Matrigel | 0 RPM | BioCoat Tissue culture plates, 1 mL | No compounds added | 37°C | 6.2 | 5% |
| 10  | Matrigel | 0 RPM | BioCoat Tissue culture plates, 1 mL | HGF (50 ng/mL), EGF (20 ng/mL) | 37°C | 6.2 | 5% |
| 11  | Matrigel | 100 RPM | BioCoat Tissue culture plates, 1 mL | FGF7 (50 ng/mL), PD-0325901 (10 μM) | 37°C | 6.2 | 20% |
| 12  | Matrigel | 100 RPM | BioCoat Tissue culture plates, 1 mL | BMP4 (20 ng/mL), SB-431542 (10 μM) | 37°C | 6.2 | 20% |
| 13  | Hepatocyte growth medium | 0 RPM | Hanging drop plate, 5 μL | HGF (50 ng/mL), EGF (20 ng/mL) | 37°C | 6.8 | 5% |
| 14  | Hepatocyte growth medium | 0 RPM | Hanging drop plate, 5 μL | Activin A (100 ng/mL), Noggin (50 μg/mL) | 37°C | 6.8 | 5% |
| 15  | Hepatocyte growth medium | 0 RPM | Hanging drop plate, 5 μL | FGF4 (50 ng/mL), BMP4 (20 ng/mL) | 37°C | 6.8 | 5% |
| 16  | Hepatocyte growth medium | 100 RPM | CellSTACK II chamber slides, 1 mL | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 6.8 | 20% |
| 17  | Hepatocyte growth medium | 100 RPM | CellSTACK II chamber slides, 1 mL | Activin A (100 ng/mL), TGF-β (5 ng/mL) | 37°C | 6.8 | 20% |
| 18  | Hepatocyte growth medium | 0 RPM | V-bottom 24-well plate, 500 μL | FGF7 (50 ng/mL), IGF-1 (20 ng/mL) | 37°C | 6.8 | 5% |
| 19  | Hepatocyte growth medium | 0 RPM | V-bottom 24-well plate, 500 μL | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 6.8 | 5% |
| 20  | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | FGF4 (50 ng/mL), SB-431542 (10 μM) | 37°C | 7.4 | 20% |
| 21  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | No compounds added | 37°C | 7.4 | 20% |

Note: The density of the H9 hESC is approximately 100,000 cells/cm² (10^5 cells/cm²)
Generating protocol 5 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | E8 Media | 0 RPM | 12-well plate, 3.85 cm²/well | KSR (10 μM), TGF-β1 (1 ng/mL) | 37°C | 7.4 | 15% |
| 3   | E8 Media | 50 RPM | 24-well plate, 2 cm²/well | BMP4 (100 ng/mL), XAV939 (10 μM) | 37°C | 7.1 | 18% |
| 4   | E8 Media | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), VEGF-A (20 ng/mL) | 37°C | 7.3 | 22% |
| 5   | hESC-qualified DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | FGF4 (100 ng/mL), Wnt3a (50 ng/mL) | 37°C | 7.2 | 20% |
| 6   | hESC-qualified DMEM/F12 | 50 RPM | 48-well plate, 1 cm²/well | Activin A (200 ng/mL), BMP4 (100 ng/mL) | 37°C | 7.0 | 19% |
| 7   | hESC-qualified DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | TGF-β1 (5 ng/mL), GSK3 inhibitor (10 μM) | 37°C | 7.1 | 18% |
| 8   | M199 Media | 0 RPM | 48-well plate, 1 cm²/well | Insulin (10 μM), EGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 9   | M199 Media | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), VEGF-C (50 ng/mL) | 37°C | 7.3 | 22% |
| 10  | hESC-qualified DMEM/F12 | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), FGF2 (100 ng/mL) | 37°C | 7.2 | 20% |
| 11  | hESC-qualified DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | Wnt3a (100 ng/mL), Noggin (10 μM) | 37°C | 7.1 | 19% |
| 12  | M199 Media | 0 RPM | 48-well plate, 1 cm²/well | TGF-β1 (5 ng/mL), EGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 13  | M199 Media | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), VEGF-C (50 ng/mL) | 37°C | 7.3 | 22% |
| 14  | hESC-qualified DMEM/F12 | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), FGF2 (100 ng/mL) | 37°C | 7.2 | 20% |
| 15  | hESC-qualified DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | Wnt3a (100 ng/mL), Noggin (10 μM) | 37°C | 7.1 | 19% |
| 16  | E8 Media | 0 RPM | 12-well plate, 3.85 cm²/well | KSR (20 μM), TGF-β1 (5 ng/mL) | 37°C | 7.4 | 15% |
| 17  | E8 Media | 50 RPM | 24-well plate, 2 cm²/well | BMP4 (100 ng/mL), XAV939 (20 μM) | 37°C | 7.1 | 18% |
| 18  | hESC-qualified DMEM/F12 | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), VEGF-A (20 ng/mL) | 37°C | 7.3 | 22% |
| 19  | M199 Media | 0 RPM | 48-well plate, 1 cm²/well | Insulin (10 μM), EGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 20  | hESC-qualified DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | BMP4 (200 ng/mL), FGF2 (100 ng/mL) | 37°C | 7.2 | 20% |
| 21  | M199 Media | 0 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (5 ng/mL), GSK3 inhibitor (20 μM) | 37°C | 7.1 | 18% |

Note: The concentrations of the growth factors and inhibitors used in this protocol may need to be adjusted based on the specific requirements of your cells.
Generating protocol 6 for model llama3.1:8b
**Liver Organoid Development Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 + bFGF (10 ng/mL) | 50 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 18% |
| 3   | E8 Medium | 0 RPM | 12-well plate, 2.0 cm²/well | Wnt3a (50 ng/mL) | 37°C | 7.5 | 22% |
| 4   | E8 Medium + BSA (1 mg/mL) | 100 RPM | 6-well plate, 9.5 cm²/well | FGF2 (10 ng/mL) | 37°C | 7.3 | 15% |
| 5   | DMEM/F12 + Glucose | 50 RPM | 24-well plate, 1.0 cm²/well | HGF (25 ng/mL) | 37°C | 7.2 | 20% |
| 6   | DMEM/F12 + Glucose | 100 RPM | 24-well plate, 1.0 cm²/well | EGF (10 ng/mL) | 37°C | 7.4 | 18% |
| 7   | William's Medium E | 50 RPM | 48-well plate, 0.5 cm²/well | TGF-β1 (1 ng/mL) | 37°C | 7.6 | 22% |
| 8   | William's Medium E + FCS | 100 RPM | 48-well plate, 0.5 cm²/well | BMP4 (25 ng/mL) | 37°C | 7.5 | 20% |
| 9   | HEPES Buffered DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 18% |
| 10  | HEPES Buffered DMEM + Glucose | 100 RPM | 24-well plate, 1.0 cm²/well | FGF2 (10 ng/mL) | 37°C | 7.3 | 15% |
| 11  | K-SFM + Glutamine | 50 RPM | 48-well plate, 0.5 cm²/well | HGF (25 ng/mL) | 37°C | 7.2 | 20% |
| 12  | K-SFM + Glutamine | 100 RPM | 48-well plate, 0.5 cm²/well | EGF (10 ng/mL) | 37°C | 7.4 | 18% |
| 13  | Advanced DMEM/F12 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (1 ng/mL) | 37°C | 7.6 | 22% |
| 14  | Advanced DMEM/F12 + Glucose | 100 RPM | 24-well plate, 1.0 cm²/well | BMP4 (25 ng/mL) | 37°C | 7.5 | 20% |
| 15  | mTeSR2 + Glutamine | 50 RPM | 48-well plate, 0.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 18% |
| 16  | mTeSR2 + Glucose | 100 RPM | 24-well plate, 1.0 cm²/well | FGF2 (10 ng/mL) | 37°C | 7.3 | 15% |
| 17  | EGM-2 + BSA | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (25 ng/mL) | 37°C | 7.2 | 20% |
| 18  | EGM-2 + Glucose | 100 RPM | 24-well plate, 1.0 cm²/well | EGF (10 ng/mL) | 37°C | 7.4 | 18% |
| 19  | DMEM/F12 + FCS | 50 RPM | 48-well plate, 0.5 cm²/well | TGF-β1 (1 ng/mL) | 37°C | 7.6 | 22% |
| 20  | DMEM/F12 + Glucose + Glutamine | 100 RPM | 24-well plate, 1.0 cm²/well | BMP4 (25 ng/mL) | 37°C | 7.5 | 20% |
| 21  | mTeSR2 + Glucose + Glutamine | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 18% |

Note: All concentrations are in ng/mL unless specified otherwise.
Generating protocol 7 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), FGF2 (10 ng/mL) | 37°C | 7.4 | 15% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), FGF2 (10 ng/mL), BMP4 (25 ng/mL) | 37°C | 7.4 | 15% |
| 3   | mTeSR1 + 0.5x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (100 ng/mL), CHIR99021 (3 μM) | 37°C | 7.4 | 15% |
| 4   | mTeSR1 + 0.5x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (100 ng/mL), CHIR99021 (3 μM), PDGF-BB (10 ng/mL) | 37°C | 7.4 | 15% |
| 5   | mTeSR1 + 0.5x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | ESGRO (50 μg/mL), Laminin (10 μg/mL) | 37°C | 7.4 | 15% |
| 6   | mTeSR1 + 0.5x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | ESGRO (50 μg/mL), Laminin (10 μg/mL), TGF-β1 (1 ng/mL) | 37°C | 7.4 | 15% |
| 7   | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), Noggin (100 ng/mL) | 37°C | 7.4 | 10% |
| 8   | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), Noggin (100 ng/mL), TGF-β1 (1 ng/mL) | 37°C | 7.4 | 10% |
| 9   | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF2 (10 ng/mL), ESGRO (50 μg/mL) | 37°C | 7.4 | 10% |
| 10  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF2 (10 ng/mL), ESGRO (50 μg/mL), PDGF-BB (10 ng/mL) | 37°C | 7.4 | 10% |
| 11  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Laminin (10 μg/mL), Noggin (100 ng/mL) | 37°C | 7.4 | 10% |
| 12  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Laminin (10 μg/mL), Noggin (100 ng/mL), HGF (20 ng/mL) | 37°C | 7.4 | 10% |
| 13  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (1 ng/mL), ESGRO (50 μg/mL) | 37°C | 7.4 | 10% |
| 14  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (1 ng/mL), ESGRO (50 μg/mL), FGF2 (10 ng/mL) | 37°C | 7.4 | 10% |
| 15  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), Laminin (10 μg/mL) | 37°C | 7.4 | 10% |
| 16  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), Laminin (10 μg/mL), PDGF-BB (10 ng/mL) | 37°C | 7.4 | 10% |
| 17  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Noggin (100 ng/mL), ESGRO (50 μg/mL) | 37°C | 7.4 | 10% |
| 18  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Noggin (100 ng/mL), ESGRO (50 μg/mL), FGF2 (10 ng/mL) | 37°C | 7.4 | 10% |
| 19  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Laminin (10 μg/mL), HGF (20 ng/mL) | 37°C | 7.4 | 10% |
| 20  | mTeSR1 + 0.25x B27 | 50 RPM | 6-well plate, 9.5 cm²/well | Laminin (10 μg/mL), HGF (20 ng/mL), TGF-β1 (1 ng/mL) | 37°C | 7.4 | 10% |
